Solution;Hotel;IsValid;ReportedAttractions;CalculatedAttractions;ReportedQuality;CalculatedQuality;ReportedTime;CalculatedTime;ReportedCost;CalculatedCost;Errors
1;Auberge du Plateau;True;14.0;14;71.4;71.4;1288.6;1288.6;97.25;97.25;
2;Auberge du Plateau;True;13.0;13;66.9;66.9;1204.9;1204.9;97.25;97.25;
3;Auberge L'Apero;True;13.0;13;66.0;66.0;1301.6;1301.6;39.25;39.25;
4;Auberge du Plateau;True;12.0;12;62.0;62.0;1005.5;1005.5;149.38;149.38;
5;Auberge L'Apero;True;11.0;11;57.9;57.9;1160.8;1160.8;25.25;25.25;
6;Auberge L'Apero;True;11.0;11;57.5;57.5;1042.6;1042.6;25.25;25.25;
7;Auberge du Plateau;True;10.0;10;54.0;54.0;873.7;873.7;97.25;97.25;
8;Auberge L'Apero;True;10.0;10;52.5;52.5;921.9;921.9;25.25;25.25;
9;Alternative Hostel of Old Montreal;True;9.0;9;49.4;49.4;825.9;825.9;49.75;49.75;
10;Auberge L'Apero;True;9.0;9;48.3;48.3;879.3;879.3;25.25;25.25;
11;Auberge L'Apero;True;8.0;8;44.0;44.0;727.8;727.8;25.25;25.25;
12;Auberge L'Apero;True;8.0;8;43.8;43.8;709.1;709.1;25.25;25.25;
13;Auberge L'Apero;True;7.0;7;39.2;39.2;577.5;577.5;31.7;31.70;
14;Auberge L'Apero;True;7.0;7;39.3;39.3;592.9;592.9;25.25;25.25;
15;Auberge L'Apero;True;6.0;6;35.0;35.0;537.0;537.0;35.33;35.33;
16;Auberge L'Apero;True;5.0;5;30.7;30.7;499.4;499.4;25.25;25.25;
17;Auberge L'Apero;True;5.0;5;29.7;29.7;418.4;418.4;25.25;25.25;
18;Auberge du Plateau;True;4.0;4;26.5;26.5;342.5;342.5;67.25;67.25;
19;Auberge L'Apero;True;4.0;4;25.9;25.9;413.5;413.5;51.25;51.25;
20;Hotel le Coach;True;3.0;3;22.2;22.2;286.3;286.3;195.5;195.50;
21;Auberge L'Apero;True;3.0;3;21.6;21.6;246.0;246.0;25.25;25.25;
22;The Ritz-Carlton, Montreal;True;2.0;2;18.5;18.5;161.7;161.7;1034.67;1034.67;
23;Sofitel Montreal Golden Mile;True;2.0;2;17.7;17.7;176.4;176.4;575.7;575.70;
24;Le Westin Montreal;True;1.0;1;12.6;12.6;64.3;64.3;295.0;295.00;
25;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
26;Renaissance Montreal Downtown Hotel;True;1.0;1;13.0;13.0;64.4;64.4;700.75;700.75;
27;Le Petit Hotel Vieux-Montréal | Saint-Paul;True;1.0;1;13.6;13.6;69.1;69.1;426.75;426.75;
28;Deluxe Suites Downtown Montreal;True;1.0;1;14.2;14.2;105.0;105.0;243.25;243.25;
29;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
30;Hotel le Coach;True;1.0;1;13.5;13.5;162.7;162.7;195.5;195.50;
